Date,NAV,Cash_NAV,Gold_NAV,Apple_NAV,JnJ_NAV,PG_NAV,EM_NAV,Private Credit_NAV,TIPS ETF_NAV,10Y Bond_NAV,SPX ATM Call_NAV,Inflation Swap_NAV,Convertible Bond_NAV
2019-03-14,1199160.2508581139,174244.0218432884,162611.95740430683,31562.298494526312,41860.647302274745,64176.62147267809,120219.1075681772,124706.60946314027,113630.96919243285,106171.79424326436,0.0,133278.67823229724,126697.54564172772
2019-03-15,1203080.156617297,174261.09625174076,163355.06321591948,32003.937801702592,41772.40891642252,64783.48041292938,121229.2566042136,124997.9596885166,113827.18216622963,106217.2155850134,0.0,133705.08041526703,126927.47555934219
2019-03-16,1206864.825475425,174278.1723333376,164101.56488018692,32451.756800693045,41684.35652895397,65396.07785678076,122247.89348461722,125289.99059115768,114023.73395198374,106262.65635846085,0.0,134005.76094866995,127122.86174058335
2019-03-17,1210447.8998166611,174295.25008824287,164851.47791551187,32905.8419615883,41596.48974780164,66014.46806795216,123275.0895290641,125582.70376131985,114220.62513474081,106308.11657191979,0.0,134043.37858607294,127354.45845244676
2019-03-18,1212289.3683998703,174312.32951662055,165008.53742228064,33194.12272388109,41487.16755189516,65661.40451906298,124386.2933251699,125863.47051091882,114277.53187051917,106368.59430050713,0.0,134190.59522216496,127539.32143684989
2019-03-19,1213638.501183566,174329.41061863463,165352.05226906465,33064.419193076305,41870.857902559765,65826.46580689584,124487.79978172545,125806.1624052765,114178.15678558307,106484.23820719172,0.0,134303.67665961315,127935.26155394489
2019-03-20,1213660.6140942653,174346.49339444912,166124.966449046,33242.611153104124,41548.941135191104,65668.78320684338,124314.55393083993,125399.6819862027,114588.71882940366,106565.77577363364,0.0,133628.2953700709,128231.79286548076
2019-03-21,1214899.4547023275,174363.577844228,165674.96777376396,34386.84216621765,41789.07952561612,66278.23787752615,124328.40083066591,125819.73450210338,114570.206230812,106449.03277306659,0.0,132779.55684743568,128459.81833089203
2019-03-22,1210408.3734644668,174380.66396813534,166178.44790341263,33611.062580818994,41419.71603626739,65979.02434172574,122855.09467756847,124541.26418356902,114714.40229719592,105990.76796241755,0.0,132056.37220689707,128681.55730645866
2019-03-23,1205308.4153996382,174397.75176633516,166683.45809064546,32852.78486320489,41053.617260782004,65681.16160737802,121399.24737543552,123275.78456448129,114858.7798462379,105534.47598920262,0.0,130726.01142159422,128845.34261434131
